racenum,startnum,horsename,driver,trainer,playpercent,moneywin,resrace1,pricesumrace1,resrace2,pricesumrace2,resrace3,pricesumrace3,resrace4,pricesumrace4,resrace5,pricesumrace5,winnernum,driver_id,trainer_id,rp1,rp2,rp3,rp4,rp5
1,1,D'Apper,Magnus A Djuse,Daniel Redén,12,0,9,25.0,1,30.0,1,30.0,9,30.0,1,30.0,99,5.0,84.0,0.36,0.03333333333333333,0.03333333333333333,0.3,0.03333333333333333
1,2,Holcombe Zet,Örjan Kihlström,Daniel Redén,16,0,3,500.0,9,1000.0,1,100.0,3,110.0,1,150.0,99,59.0,84.0,0.006,0.009,0.01,0.02727272727272727,0.006666666666666667
1,3,Underground Artist,Carl Johan Jepson,Christoffer Eriksson,9,0,9,600.0,1,60.0,1,60.0,4,30.0,9,200.0,99,2.0,9.0,0.015,0.016666666666666666,0.016666666666666666,0.13333333333333333,0.045
1,4,Kingen Mearas,Daniel Wäjersten,Daniel Wäjersten,20,0,1,110.0,3,220.0,1,60.0,1,110.0,9,30.0,99,72.0,97.0,0.00909090909090909,0.013636363636363636,0.016666666666666666,0.00909090909090909,0.3
1,5,Boscha Diablo,Johan Untersteiner,Johan Untersteiner,12,0,9,300.0,2,110.0,9,800.0,1,200.0,9,2000.0,99,6.0,5.0,0.03,0.01818181818181818,0.01125,0.005,0.0045
1,6,Antognoni,Jorma Kontio,Timo Nurmos,7,0,5,220.0,1,110.0,1,50.0,9,110.0,3,200.0,99,37.0,89.0,0.022727272727272728,0.00909090909090909,0.02,0.08181818181818182,0.015
1,7,Let Me In,Björn Goop,David Persson,0,0,1,25.0,6,40.0,4,30.0,5,60.0,4,60.0,99,30.0,17.0,0.04,0.15,0.13333333333333333,0.08333333333333333,0.06666666666666667
1,8,Remember Me D.E.,Joakim Lövgren,Joakim Lövgren,24,0,3,100.0,2,1000.0,2,100.0,4,40.0,2,150.0,99,11.0,10.0,0.03,0.002,0.02,0.1,0.013333333333333334
2,1,Pantocrator,Gustav Johansson,Jerry Riordan,3,0,9,600.0,1,35.0,6,110.0,9,1000.0,3,100.0,99,8.0,128.0,0.015,0.02857142857142857,0.05454545454545454,0.009,0.03
2,2,Eclipse As,Ulf Ohlsson,Reijo Liljendahl,11,0,8,110.0,4,100.0,2,60.0,1,100.0,2,150.0,99,1.0,263.0,0.07272727272727272,0.04,0.03333333333333333,0.01,0.013333333333333334
2,3,Global Enjoy,Johan Untersteiner,Johan Untersteiner,3,0,6,300.0,3,110.0,6,100.0,6,110.0,5,60.0,99,6.0,5.0,0.02,0.02727272727272727,0.06,0.05454545454545454,0.08333333333333333
2,4,Crown,Örjan Kihlström,Daniel Redén,24,0,2,30.0,2,500.0,4,100.0,2,60.0,4,30.0,99,59.0,84.0,0.06666666666666667,0.004,0.04,0.03333333333333333,0.13333333333333333
2,5,I.D.Got a Colt,Christoffer Eriksson,Christoffer Eriksson,43,0,1,300.0,1,40.0,2,35.0,3,35.0,2,50.0,99,10.0,9.0,0.0033333333333333335,0.025,0.05714285714285714,0.08571428571428572,0.04
2,6,Immortal Doc,Carl Johan Jepson,Fredrik Wallin,8,0,6,300.0,9,100.0,3,300.0,4,800.0,4,200.0,99,2.0,107.0,0.02,0.09,0.01,0.005,0.02
2,7,Windforce,Veikko Haapakangas,Veikko Haapakangas,1,0,9,40.0,5,30.0,9,30.0,2,30.0,9,30.0,99,350.0,305.0,0.225,0.16666666666666666,0.3,0.06666666666666667,0.3
2,8,King of Twilight,Björn Goop,Magnus Dahlén,6,0,4,500.0,5,1000.0,2,100.0,9,300.0,9,200.0,99,30.0,170.0,0.008,0.005,0.02,0.03,0.045
3,1,Kuiper,Daniel Wäjersten,Daniel Wäjersten,27,0,2,300.0,4,1000.0,2,100.0,4,300.0,5,200.0,99,72.0,97.0,0.006666666666666667,0.004,0.02,0.013333333333333334,0.025
3,2,Roger More,Kevin Oscarsson,Kevin Oscarsson,8,0,9,110.0,3,110.0,2,110.0,7,110.0,4,80.0,99,23.0,146.0,0.08181818181818182,0.02727272727272727,0.01818181818181818,0.06363636363636363,0.05
3,3,Nelson Greenwood,Stefan Persson,Erwin Bot,8,0,9,600.0,9,500.0,2,300.0,9,100.0,1,40.0,99,0.0,315.0,0.015,0.018,0.006666666666666667,0.09,0.025
3,4,Fusion Eagra,Magnus A Djuse,Eric Martinsson,1,0,4,100.0,4,25.0,4,110.0,9,300.0,4,100.0,99,5.0,153.0,0.04,0.16,0.03636363636363636,0.03,0.04
3,5,Caviar From Mine,Björn Goop,Jörgen Westholm,10,0,4,110.0,9,30.0,9,100.0,9,300.0,9,800.0,99,30.0,58.0,0.03636363636363636,0.3,0.09,0.03,0.01125
3,6,Herakles Zet,Örjan Kihlström,Daniel Redén,1,0,4,600.0,7,300.0,1,125.0,9,1000.0,2,100.0,99,59.0,84.0,0.006666666666666667,0.023333333333333334,0.008,0.009,0.02
3,7,Ferrara,Erik Adielsson,Christoffer Eriksson,0,0,5,110.0,1,40.0,5,35.0,9,110.0,2,60.0,99,13.0,9.0,0.045454545454545456,0.025,0.14285714285714285,0.08181818181818182,0.03333333333333333
3,8,Stens Rubin,Johan Untersteiner,Johan Untersteiner,44,0,9,300.0,4,30.0,6,100.0,1,800.0,3,200.0,99,6.0,5.0,0.03,0.13333333333333333,0.06,0.00125,0.015
4,1,Noa Transs R.,Hans Crebas,Hans Crebas,11,0,1,30.0,1,25.0,3,30.0,3,30.0,3,30.0,99,69.0,94.0,0.03333333333333333,0.04,0.1,0.1,0.1
4,2,Nilla Lane,Johan Untersteiner,Johan Untersteiner,3,0,6,100.0,2,40.0,1,30.0,9,150.0,3,50.0,99,6.0,5.0,0.06,0.05,0.03333333333333333,0.06,0.06
4,3,Mary River,Adrian Kolgjini,Adrian Kolgjini,0,0,9,100.0,9,60.0,2,40.0,4,35.0,9,40.0,99,78.0,102.0,0.09,0.15,0.05,0.11428571428571428,0.225
4,4,Satine Rose,Björn Goop,Troels Andersen,1,0,9,25.0,6,50.0,3,30.0,9,30.0,2,10.0,99,30.0,191.0,0.36,0.12,0.1,0.3,0.2
4,5,Mirtamissions,Giuseppe Lubrano,Mikael C Nilsson,2,0,1,10.0,6,20.0,3,10.0,3,15.0,6,10.0,99,129.0,999.0,0.1,0.3,0.3,0.2,0.6
4,6,Global Eyecatcher,Carl Johan Jepson,David Persson,10,0,9,100.0,7,50.0,9,50.0,2,60.0,9,30.0,99,2.0,17.0,0.09,0.14,0.18,0.03333333333333333,0.3
4,7,Famous Scotch,André Eklundh,André Eklundh,24,0,2,30.0,4,50.0,4,30.0,1,50.0,1,25.0,99,89.0,44.0,0.06666666666666667,0.08,0.13333333333333333,0.02,0.04
4,8,Moyenne,Kevin Oscarsson,Dick Robertsson,4,0,4,30.0,2,15.0,9,30.0,4,35.0,4,30.0,99,23.0,139.0,0.13333333333333333,0.13333333333333333,0.3,0.11428571428571428,0.13333333333333333
4,9,Kentucky Derby,Gustav Johansson,Thomas Uhrberg,0,0,3,30.0,3,60.0,9,110.0,9,110.0,9,40.0,99,8.0,36.0,0.1,0.05,0.08181818181818182,0.08181818181818182,0.225
4,10,Riverdale Z.,Conrad Lugauer,Conrad Lugauer,9,0,3,110.0,6,30.0,3,80.0,1,40.0,4,60.0,99,15.0,14.0,0.02727272727272727,0.2,0.0375,0.025,0.06666666666666667
4,11,Biscuit,Thomas Uhrberg,Thomas Uhrberg,1,0,4,10.0,3,10.0,9,30.0,5,40.0,8,50.0,99,28.0,36.0,0.4,0.3,0.3,0.125,0.16
4,12,Safira Diablo,Peter Untersteiner,Johan Untersteiner,18,0,9,110.0,2,30.0,9,110.0,1,110.0,2,35.0,99,19.0,5.0,0.08181818181818182,0.06666666666666667,0.08181818181818182,0.00909090909090909,0.05714285714285714
4,13,Eva's Yankee,Nicklas Korfitsen,Nicklas Korfitsen,10,0,1,30.0,2,30.0,1,30.0,1,30.0,5,30.0,99,34.0,999.0,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.16666666666666666
4,14,Queen,Stefan Persson,André Eklundh,5,0,1,50.0,7,30.0,9,30.0,6,110.0,3,30.0,99,0.0,44.0,0.02,0.23333333333333334,0.3,0.05454545454545454,0.1
4,15,Power Vacation,Erik Adielsson,Johanna Johansson,3,0,5,150.0,3,110.0,4,110.0,8,110.0,2,25.0,99,13.0,548.0,0.03333333333333333,0.02727272727272727,0.03636363636363636,0.07272727272727272,0.08
5,1,Heavenly Laday,Conrad Lugauer,Conrad Lugauer,5,0,2,30.0,9,60.0,9,50.0,5,50.0,1,40.0,99,15.0,14.0,0.06666666666666667,0.15,0.18,0.1,0.025
5,2,Goddess Nike,Kevin Oscarsson,Kevin Oscarsson,8,0,9,40.0,2,25.0,1,35.0,1,25.0,3,25.0,99,23.0,146.0,0.225,0.08,0.02857142857142857,0.04,0.12
5,3,Nice Steel,Johan Untersteiner,Johan Untersteiner,22,0,5,40.0,1,30.0,2,30.0,1,30.0,2,25.0,99,6.0,5.0,0.125,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.08
5,4,Honey Express,Preben Sövik,Preben Sövik,0,0,4,50.0,5,35.0,4,30.0,8,50.0,8,50.0,99,4.0,3.0,0.08,0.14285714285714285,0.13333333333333333,0.16,0.16
5,5,Landing Field,Rick Ebbinge,Rick Ebbinge,6,0,4,40.0,9,30.0,6,40.0,1,25.0,4,25.0,99,9.0,8.0,0.1,0.3,0.15,0.04,0.16
5,6,Nasha,Joakim Lövgren,Joakim Lövgren,25,0,1,30.0,3,30.0,3,40.0,8,50.0,1,50.0,99,11.0,10.0,0.03333333333333333,0.1,0.075,0.16,0.02
5,7,Lo Diablo,Peter Untersteiner,Johan Untersteiner,2,0,6,50.0,7,50.0,1,50.0,6,125.0,4,40.0,99,19.0,5.0,0.12,0.14,0.02,0.048,0.1
5,8,Niras Hoppetossa,Erik Adielsson,Johanna Johansson,6,0,7,100.0,1,35.0,4,50.0,9,25.0,2,25.0,99,13.0,548.0,0.07,0.02857142857142857,0.08,0.36,0.08
5,9,Pearl Silvio,Björn Goop,Björn Goop,11,0,4,40.0,1,40.0,1,25.0,2,25.0,6,60.0,99,30.0,34.0,0.1,0.025,0.04,0.08,0.1
5,10,Nepenthe Boko,Gustav Johansson,Jerry Riordan,3,0,9,100.0,3,40.0,2,30.0,1,30.0,5,30.0,99,8.0,128.0,0.09,0.075,0.06666666666666667,0.03333333333333333,0.16666666666666666
5,11,Runs in the Family,Nicklas Korfitsen,Nicklas Korfitsen,3,0,1,30.0,1,30.0,1,30.0,4,30.0,2,30.0,99,34.0,999.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.06666666666666667
5,12,Nikita R.,Robin Bakker,Paul J P Hagoort,10,0,1,40.0,8,30.0,4,30.0,9,30.0,1,30.0,99,94.0,125.0,0.025,0.26666666666666666,0.13333333333333333,0.3,0.03333333333333333
6,1,Kitty Hawk,Mats E Djuse,Stefan P Pettersson,6,0,1,100.0,3,110.0,2,100.0,9,100.0,9,220.0,99,51.0,47.0,0.01,0.02727272727272727,0.02,0.09,0.04090909090909091
6,2,Ester Degli Dei,Robin Bakker,Paul J P Hagoort,23,0,1,100.0,1,500.0,1,30.0,9,30.0,1,800.0,99,94.0,125.0,0.01,0.002,0.03333333333333333,0.3,0.00125
6,3,Karaboudjan,Adrian Kolgjini,Adrian Kolgjini,35,0,1,100.0,9,500.0,1,1000.0,1,100.0,1,50.0,99,78.0,102.0,0.01,0.018,0.001,0.01,0.02
6,4,Lightning Stride,Carl Johan Jepson,Jerry Riordan,11,0,1,100.0,2,40.0,5,110.0,5,1000.0,2,100.0,99,2.0,128.0,0.01,0.05,0.045454545454545456,0.005,0.02
6,5,Xia Lloyd,Dante Kolgjini,Adrian Kolgjini,5,0,2,100.0,9,500.0,9,1000.0,1,100.0,1,220.0,99,107.0,102.0,0.02,0.018,0.009,0.01,0.004545454545454545
6,6,Willa Explosive,Johan Untersteiner,Johan Untersteiner,7,0,2,100.0,5,100.0,2,1000.0,1,100.0,4,110.0,99,6.0,5.0,0.02,0.05,0.002,0.01,0.03636363636363636
6,7,Sobel Exellence,Peter Untersteiner,Johan Untersteiner,0,0,3,100.0,1,50.0,3,40.0,2,50.0,5,40.0,99,19.0,5.0,0.03,0.02,0.075,0.04,0.125
6,8,Caia,Magnus A Djuse,Fredrik Wallin,3,0,3,100.0,1,50.0,9,30.0,9,30.0,9,60.0,99,5.0,107.0,0.03,0.02,0.3,0.3,0.15
6,9,Naomi Bros,Mika Forss,Mikael Melefors,8,0,2,100.0,8,300.0,2,125.0,4,1000.0,2,100.0,99,77.0,432.0,0.02,0.02666666666666667,0.016,0.004,0.02
6,10,Xanthis Ibiza,Markus B Svedberg,Markus B Svedberg,4,0,2,100.0,3,40.0,2,60.0,2,15.0,9,30.0,99,65.0,37.0,0.02,0.075,0.03333333333333333,0.13333333333333333,0.3
7,1,No Talking You,Johan Untersteiner,Johan Untersteiner,4,0,5,60.0,9,80.0,4,100.0,6,110.0,4,220.0,99,6.0,5.0,0.08333333333333333,0.1125,0.04,0.05454545454545454,0.01818181818181818
7,2,King of the Hill,Dante Kolgjini,Adrian Kolgjini,0,0,6,35.0,9,110.0,1,35.0,9,40.0,8,110.0,99,107.0,102.0,0.17142857142857143,0.08181818181818182,0.02857142857142857,0.225,0.07272727272727272
7,3,Börtas Ankare,Victor Rosleff,Mimmi Elfstrand,5,0,2,150.0,3,30.0,9,30.0,9,100.0,2,30.0,99,36.0,523.0,0.013333333333333334,0.1,0.3,0.09,0.06666666666666667
7,4,Bull's Eyes,Magnus A Djuse,Carl-Otto Göransson,5,0,9,40.0,1,30.0,4,30.0,4,30.0,9,50.0,99,5.0,398.0,0.225,0.03333333333333333,0.13333333333333333,0.13333333333333333,0.18
7,5,Mister Jupiter,Jorma Kontio,Timo Nurmos,5,0,9,75.0,2,100.0,9,80.0,2,150.0,1,60.0,99,37.0,89.0,0.12,0.02,0.1125,0.013333333333333334,0.016666666666666666
7,6,America Dream,Axel Jacobsen,Axel Jacobsen,1,0,4,30.0,1,10.0,9,40.0,4,60.0,9,35.0,99,104.0,143.0,0.13333333333333333,0.1,0.225,0.06666666666666667,0.2571428571428571
7,7,In Love d'Ecajeul,Björn Goop,Björn Goop,2,0,9,30.0,5,100.0,2,25.0,3,40.0,1,40.0,99,30.0,34.0,0.3,0.05,0.08,0.075,0.025
7,8,Victory Eagle,Carl Johan Jepson,Linda Fyhr,2,0,2,100.0,4,35.0,4,60.0,1,80.0,3,110.0,99,2.0,663.0,0.02,0.11428571428571428,0.06666666666666667,0.0125,0.02727272727272727
7,9,D.J.Spritz,Tino Keväänranta,Jerry Riordan,10,0,5,110.0,4,400.0,1,35.0,2,60.0,9,35.0,99,999.0,128.0,0.045454545454545456,0.01,0.02857142857142857,0.03333333333333333,0.2571428571428571
7,10,Fire n'Fury,Jennifer L Oscarsson,Magnus Dahlén,6,0,3,25.0,2,15.0,3,30.0,9,40.0,9,40.0,99,999.0,170.0,0.12,0.13333333333333333,0.1,0.225,0.225
