racenum,startnum,horsename,driver,trainer,playpercent,moneywin,resrace1,pricesumrace1,resrace2,pricesumrace2,resrace3,pricesumrace3,resrace4,pricesumrace4,resrace5,pricesumrace5,winnernum,driver_id,trainer_id,rp1,rp2,rp3,rp4,rp5
1,1,Roller Coaster Ås,Jorma Kontio,Christian Månsson,0,0,2,30.0,4,40.0,1,10.0,6,25.0,9,35.0,99,37.0,229.0,0.06666666666666667,0.1,0.1,0.24,0.2571428571428571
1,2,Leave Your Sox On,Ulf Ohlsson,Petri Salmela,1,0,5,30.0,3,35.0,8,125.0,3,40.0,2,35.0,99,1.0,181.0,0.16666666666666666,0.08571428571428572,0.064,0.075,0.05714285714285714
1,3,H.C.'s Crazy Horse,Erik Adielsson,Daniel Wäjersten,6,0,4,125.0,2,40.0,1,40.0,9,125.0,5,125.0,99,13.0,97.0,0.032,0.05,0.025,0.072,0.04
1,4,Heartbeat Thunder,Daniel Wäjersten,Daniel Wäjersten,6,0,1,30.0,8,125.0,9,125.0,1,80.0,3,30.0,99,72.0,97.0,0.03333333333333333,0.064,0.072,0.0125,0.1
1,5,Night Art,Mats E Djuse,Daniel Wäjersten,19,0,1,40.0,4,60.0,4,200.0,1,40.0,2,30.0,99,51.0,97.0,0.025,0.06666666666666667,0.02,0.025,0.06666666666666667
1,6,King of Djazz,Sandra Eriksson,Sandra Eriksson,15,0,7,250.0,2,125.0,6,125.0,1,35.0,1,40.0,99,117.0,178.0,0.028,0.016,0.048,0.02857142857142857,0.025
1,7,Gazoline Mearas,Örjan Kihlström,Sandra Eriksson,0,0,6,125.0,9,40.0,9,40.0,1,35.0,9,35.0,99,59.0,178.0,0.048,0.225,0.225,0.02857142857142857,0.2571428571428571
1,8,Maybach W.F.,Mika Forss,Madelene Wikstén,14,0,5,250.0,1,125.0,2,30.0,4,25.0,1,35.0,99,77.0,174.0,0.02,0.008,0.06666666666666667,0.16,0.02857142857142857
1,9,Working Class Hero,Jörgen Westholm,Jörgen Westholm,37,0,9,1000.0,2,30.0,1,30.0,1,30.0,5,30.0,99,44.0,58.0,0.009,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.16666666666666666
1,10,The Bald Eagle,Magnus A Djuse,Tilda Wahlberg,1,0,3,30.0,4,35.0,9,25.0,9,40.0,5,35.0,99,5.0,422.0,0.1,0.11428571428571428,0.36,0.225,0.14285714285714285
2,1,Aya Face,Daniel Wäjersten,Josefin Sandlund,2,0,4,35.0,9,30.0,4,30.0,2,10.0,9,10.0,99,72.0,419.0,0.11428571428571428,0.3,0.13333333333333333,0.2,0.9
2,2,M.T.Special Girl,Kari Alapekkala,Kari Alapekkala,4,0,1,30.0,1,25.0,4,30.0,7,25.0,9,30.0,99,157.0,242.0,0.03333333333333333,0.04,0.13333333333333333,0.28,0.3
2,3,Notice'em,Jaakko Alamäki,Jaakko Alamäki,4,0,9,25.0,9,40.0,3,40.0,2,100.0,4,25.0,99,310.0,496.0,0.36,0.225,0.075,0.02,0.16
2,4,Tactical Lady U.S.,Mika Forss,Petri Salmela,4,0,9,30.0,9,200.0,9,100.0,1,110.0,4,40.0,99,77.0,181.0,0.3,0.045,0.09,0.00909090909090909,0.1
2,5,Glendalough,Jill Ivarsson,Jill Ivarsson,2,0,9,30.0,4,35.0,1,30.0,5,30.0,3,100.0,99,366.0,999.0,0.3,0.11428571428571428,0.03333333333333333,0.16666666666666666,0.03
2,6,Point of View,Mats E Djuse,Jörgen L Andersson,0,0,5,30.0,8,15.0,9,30.0,9,25.0,8,110.0,99,51.0,999.0,0.16666666666666666,0.5333333333333333,0.3,0.36,0.07272727272727272
2,7,Icegirl L.A.,Hanna Olofsson,Gunnel Fredriksson,1,0,9,40.0,9,40.0,6,110.0,3,40.0,2,110.0,99,118.0,234.0,0.225,0.225,0.05454545454545454,0.075,0.01818181818181818
2,8,Relevant Stride,Jorma Kontio,Katja Melkko,30,0,2,100.0,1,30.0,1,150.0,1,80.0,1,50.0,99,37.0,157.0,0.02,0.03333333333333333,0.006666666666666667,0.0125,0.02
2,9,Priscilla Håleryd,Örjan Kihlström,Sandra Eriksson,6,0,4,25.0,4,110.0,1,40.0,4,25.0,3,35.0,99,59.0,178.0,0.16,0.03636363636363636,0.025,0.16,0.08571428571428572
2,10,Mellby Interest,Micael Melander,Micael Melander,1,0,9,35.0,4,30.0,3,25.0,9,40.0,1,25.0,99,151.0,356.0,0.2571428571428571,0.13333333333333333,0.12,0.225,0.04
2,11,Sweet and Wild,Ulf Ohlsson,Janita Luttunen,0,0,6,35.0,2,30.0,6,25.0,3,10.0,1,10.0,99,1.0,186.0,0.17142857142857143,0.06666666666666667,0.24,0.3,0.1
2,12,Crazy J.Lo,Erik Adielsson,Madelene Wikstén,1,0,7,25.0,9,30.0,1,40.0,9,10.0,9,35.0,99,13.0,174.0,0.28,0.3,0.025,0.9,0.2571428571428571
2,13,Like di Serafino,Krister Söderholm,Ari Aatsinki,4,0,6,25.0,3,30.0,9,30.0,9,30.0,5,25.0,99,304.0,999.0,0.24,0.1,0.3,0.3,0.2
2,14,Grit Brodda,Sandra Eriksson,Sandra Eriksson,19,0,3,35.0,4,110.0,1,40.0,3,40.0,1,100.0,99,117.0,178.0,0.08571428571428572,0.03636363636363636,0.025,0.075,0.01
2,15,Soccerbox,Magnus A Djuse,Per Edström,24,0,6,110.0,1,40.0,1,25.0,1,35.0,1,40.0,99,5.0,243.0,0.05454545454545454,0.025,0.04,0.02857142857142857,0.025
