racenum,startnum,horsename,driver,trainer,playpercent,moneywin,resrace1,pricesumrace1,resrace2,pricesumrace2,resrace3,pricesumrace3,resrace4,pricesumrace4,resrace5,pricesumrace5,winnernum,driver_id,trainer_id,rp1,rp2,rp3,rp4,rp5
1,1,Laugh'n a Half,Erik Adielsson,Jennica Rufener,2,212400,9,30.0,9,110.0,1,60.0,2,25.0,9,35.0,99,13,999.0,0.3,0.08181818181818182,0.016666666666666666,0.08,0.2571428571428571
1,2,Money Matters,Jorma Kontio,Hanna Rexhammar,25,245000,1,30.0,1,80.0,1,60.0,1,60.0,2,30.0,99,37,600.0,0.03333333333333333,0.0125,0.016666666666666666,0.016666666666666666,0.06666666666666667
1,3,Vanquish,Carl Johan Jepson,Lars I Nilsson,13,236300,3,110.0,1,60.0,4,110.0,1,40.0,1,30.0,99,2,169.0,0.02727272727272727,0.016666666666666666,0.03636363636363636,0.025,0.03333333333333333
1,4,Röde Orm,Adrian Kolgjini,Adrian Kolgjini,10,199900,1,40.0,3,50.0,5,40.0,7,80.0,1,30.0,99,78,102.0,0.025,0.06,0.125,0.0875,0.03333333333333333
1,5,Keyword,Emilia Leo,David Persson,8,207000,1,100.0,1,30.0,5,40.0,2,40.0,7,40.0,99,114,17.0,0.01,0.03333333333333333,0.125,0.05,0.175
1,6,De Chambeau,Thomas Uhrberg,Thomas Uhrberg,16,224000,6,110.0,2,125.0,2,40.0,1,50.0,1,50.0,99,28,36.0,0.05454545454545454,0.016,0.05,0.02,0.02
1,7,Value for Moni,Gustav Johansson,Thomas Madsen,1,244368,4,60.0,7,30.0,5,110.0,1,35.0,6,70.0,99,8,123.0,0.06666666666666667,0.23333333333333334,0.045454545454545456,0.02857142857142857,0.08571428571428572
1,8,Oberon Warframe,Peter Untersteiner,Johan Untersteiner,3,187500,4,150.0,2,80.0,2,30.0,2,25.0,1,40.0,99,19,5.0,0.02666666666666667,0.025,0.06666666666666667,0.08,0.025
1,9,Victory Poseidon,Björn Goop,Björn Goop,2,188000,2,25.0,6,110.0,1,60.0,3,50.0,6,50.0,99,30,34.0,0.08,0.05454545454545454,0.016666666666666666,0.06,0.12
1,10,Västerbo Voodoo,Robert Bergh,Robert Bergh,2,200000,2,35.0,1,25.0,9,100.0,3,30.0,2,35.0,99,62,62.0,0.05714285714285714,0.04,0.09,0.1,0.05714285714285714
1,11,Ready Star,Jörgen Westholm,Jörgen Westholm,18,248900,1,60.0,1,30.0,2,80.0,2,25.0,3,50.0,99,44,58.0,0.016666666666666666,0.03333333333333333,0.025,0.08,0.06
1,12,Kendrick K.W.,André Eklundh,André Eklundh,1,186000,9,60.0,9,35.0,6,60.0,1,30.0,1,40.0,99,89,44.0,0.15,0.2571428571428571,0.1,0.03333333333333333,0.025
2,1,What a Deal,Petter Karlsson,Hans Karlsson,2,663000,1,20.0,9,110.0,3,110.0,2,30.0,1,35.0,99,113,292.0,0.05,0.08181818181818182,0.02727272727272727,0.06666666666666667,0.02857142857142857
2,2,Dea Sprint Bar,Alessandro Gocciadoro,Alessandro Gocciadoro,55,1678012,8,125.0,3,220.0,3,30.0,1,30.0,3,30.0,99,110,156.0,0.064,0.013636363636363636,0.1,0.03333333333333333,0.1
2,3,Mojito Day,Örjan Kihlström,Fredrik Persson,1,712700,3,50.0,2,35.0,9,40.0,9,60.0,2,30.0,99,59,30.0,0.06,0.05714285714285714,0.225,0.15,0.06666666666666667
2,4,Marabou Brodda,Thomas Uhrberg,Thomas Uhrberg,16,1074281,1,30.0,5,60.0,1,100.0,1,50.0,3,40.0,99,28,36.0,0.03333333333333333,0.08333333333333333,0.01,0.02,0.075
2,5,Lucia Lane,Saga Laursen,Christine Larsson,0,516400,9,110.0,5,110.0,9,80.0,8,40.0,5,80.0,99,320,999.0,0.08181818181818182,0.045454545454545456,0.1125,0.2,0.0625
2,6,Utah Southwind,Magnus A Djuse,Ulf Stenströmer,18,659697,2,40.0,6,80.0,5,220.0,1,110.0,3,110.0,99,5,113.0,0.05,0.075,0.022727272727272728,0.00909090909090909,0.02727272727272727
2,7,Hashtag Simoni,André Eklundh,André Eklundh,4,567000,3,60.0,9,110.0,2,40.0,9,100.0,3,110.0,99,89,44.0,0.05,0.08181818181818182,0.05,0.09,0.02727272727272727
2,8,Beau LeVallo,Christoffer Eriksson,Christoffer Eriksson,0,548000,2,25.0,9,60.0,9,80.0,3,80.0,4,150.0,99,10,9.0,0.08,0.15,0.1125,0.0375,0.02666666666666667
2,9,Kadabra Dream,Carl Johan Jepson,Per Henriksen,1,765423,3,30.0,5,40.0,9,60.0,1,25.0,6,110.0,99,2,0.0,0.1,0.125,0.15,0.04,0.05454545454545454
2,11,Gatling,Björn Goop,Björn Goop,3,658300,4,110.0,3,80.0,1,50.0,4,80.0,1,40.0,99,30,34.0,0.03636363636363636,0.0375,0.02,0.05,0.025
2,12,Gambino Brick,Tom Johansson,Linnea Persson,1,656400,1,15.0,1,10.0,9,50.0,9,80.0,9,80.0,99,300,211.0,0.06666666666666667,0.1,0.18,0.1125,0.1125
3,1,Global Enjoy,Björn Goop,Johan Untersteiner,1,527500,3,110.0,6,100.0,6,110.0,5,60.0,2,30.0,99,30,5.0,0.02727272727272727,0.06,0.05454545454545454,0.08333333333333333,0.06666666666666667
3,2,Flotilla,Claes Sjöström,Roger Walmann,1,587500,9,125.0,9,300.0,5,80.0,9,200.0,9,200.0,99,63,160.0,0.072,0.03,0.0625,0.045,0.045
3,3,Herakles Zet,Örjan Kihlström,Daniel Redén,52,909000,1,125.0,9,1000.0,2,100.0,4,200.0,4,2000.0,99,59,84.0,0.008,0.009,0.02,0.02,0.002
3,4,Boscha Diablo,Peter Untersteiner,Johan Untersteiner,6,697375,2,110.0,9,800.0,1,200.0,9,2000.0,1,200.0,99,19,5.0,0.01818181818181818,0.01125,0.005,0.0045,0.005
3,5,Stens Rubin,Erik Adielsson,Johan Untersteiner,6,2008551,4,30.0,6,100.0,1,800.0,3,200.0,3,200.0,99,13,5.0,0.13333333333333333,0.06,0.00125,0.015,0.015
3,6,Kuiper,Daniel Wäjersten,Daniel Wäjersten,6,653000,4,1000.0,2,100.0,4,300.0,5,200.0,6,200.0,99,72,97.0,0.004,0.02,0.013333333333333334,0.025,0.03
3,7,Bicc's Tobee,Dwight Pieters,Maria Törnqvist,15,630000,1,110.0,1,220.0,1,110.0,1,30.0,4,300.0,99,27,35.0,0.00909090909090909,0.004545454545454545,0.00909090909090909,0.03333333333333333,0.013333333333333334
3,8,I.D.Got a Colt,Robert Bergh,Robert Bergh,1,387500,1,40.0,2,35.0,3,35.0,2,50.0,1,30.0,99,62,62.0,0.025,0.05714285714285714,0.08571428571428572,0.04,0.03333333333333333
3,9,Macahan,Carl Johan Jepson,Maria Törnqvist,2,605500,3,125.0,9,1000.0,3,100.0,2,40.0,4,40.0,99,2,35.0,0.024,0.009,0.03,0.05,0.1
3,10,Naomi Bros,Mika Forss,Mikael Melefors,1,945500,2,125.0,4,1000.0,2,100.0,2,110.0,5,300.0,99,77,432.0,0.016,0.004,0.02,0.01818181818181818,0.016666666666666666
3,11,Everything Bi,Alessandro Gocciadoro,Alessandro Gocciadoro,8,1900855,9,30.0,9,30.0,1,30.0,9,30.0,9,30.0,99,110,156.0,0.3,0.3,0.03333333333333333,0.3,0.3
4,1,The Queen is Back,Gustav Johansson,Erik Andersson,2,113300,1,25.0,8,25.0,6,40.0,3,25.0,5,40.0,99,8,271.0,0.04,0.32,0.15,0.12,0.125
4,2,S.G.'s Alecta,Ulf Ohlsson,Joakim Elfving,12,116900,1,25.0,5,30.0,3,25.0,9,25.0,9,30.0,99,1,80.0,0.04,0.16666666666666666,0.12,0.36,0.3
