Lopp 1:		Lopp 2:		Lopp 3:		Lopp 4:		Lopp 5:		Lopp 6:		Lopp 7:                
3 	46.4	6 	35.7	7 	45.4	15 	43.7	2 	38.8	5 	52.3	15 	63.7	
5 	33.9	7 	32.2	10 	38.7	3 	38.7	6 	36.2	6 	40.0	4 	45.2	
1 	30.9	5 	31.6	4 	37.1	5 	30.9	5 	35.4	3 	38.6	3 	39.9	
2 	30.4	1 	29.1	3 	29.4	14 	29.4	4 	35.2	1 	34.6	14 	38.5	
6 	28.0	4 	29.0	1 	28.1	1 	29.0	7 	31.8	7 	27.4	2 	36.5	
7 	26.8	12 	28.0	2 	27.0	6 	25.8	10 	29.2	4 	25.6	6 	35.8	
4 	24.3	10 	27.6	6 	26.8	7 	25.6	12 	24.1	2 	24.0	13 	32.9	
8 	22.7	3 	26.2	9 	26.5	9 	25.6	1 	23.8	9 	21.2	1 	32.3	
10 	18.8	11 	25.8	5 	23.2	11 	25.6	9 	23.5	10 	21.1	7 	31.7	
9 	16.9	2 	24.0	11 	22.7	13 	25.0	3 	21.6	11 	21.0	11 	26.0	
		8 	20.0	8 	19.9	4 	24.0	11 	20.5	12 	20.3	8 	24.4	
		9 	19.8			12 	22.4	8 	19.3			9 	24.3	
						10 	21.7					12 	24.0	
						8 	21.3					5 	22.9	
						2 	20.9					10 	19.6	
